Loaded expectmax lib for 2048: /cluster/home/it_stu9/2048-api/game2048/expectimax/bin/2048.so
score: 4096	#464 	 loss:0.677 	 acc:0.685
score: 1024	#465 	 loss:0.674 	 acc:0.685
score: 1024	#466 	 loss:0.676 	 acc:0.680
score: 1024	#467 	 loss:0.680 	 acc:0.682
score: 1024	#468 	 loss:0.683 	 acc:0.677
score: 1024	#469 	 loss:0.677 	 acc:0.683
score: 1024	#470 	 loss:0.678 	 acc:0.682
score: 2048	#471 	 loss:0.669 	 acc:0.685
score: 2048	#472 	 loss:0.674 	 acc:0.682
score: 2048	#473 	 loss:0.676 	 acc:0.683
score: 4096	#474 	 loss:0.674 	 acc:0.686
score: 2048	#475 	 loss:0.681 	 acc:0.679
score: 2048	#476 	 loss:0.685 	 acc:0.678
score: 128	#477 	 loss:0.683 	 acc:0.680
score: 2048	#478 	 loss:0.679 	 acc:0.681
score: 2048	#479 	 loss:0.675 	 acc:0.686
score: 1024	#480 	 loss:0.670 	 acc:0.688
score: 1024	#481 	 loss:0.682 	 acc:0.677
score: 4096	#482 	 loss:0.668 	 acc:0.689
score: 4096	#483 	 loss:0.679 	 acc:0.680
score: 2048	#484 	 loss:0.677 	 acc:0.683
score: 4096	#485 	 loss:0.673 	 acc:0.682
score: 2048	#486 	 loss:0.678 	 acc:0.682
score: 2048	#487 	 loss:0.681 	 acc:0.683
score: 512	#488 	 loss:0.673 	 acc:0.683
score: 2048	#489 	 loss:0.681 	 acc:0.677
score: 1024	#490 	 loss:0.670 	 acc:0.683
score: 1024	#491 	 loss:0.675 	 acc:0.683
score: 2048	#492 	 loss:0.681 	 acc:0.679
score: 2048	#493 	 loss:0.679 	 acc:0.678
score: 2048	#494 	 loss:0.676 	 acc:0.681
score: 512	#495 	 loss:0.670 	 acc:0.685
score: 1024	#496 	 loss:0.672 	 acc:0.687
score: 4096	#497 	 loss:0.688 	 acc:0.671
score: 2048	#498 	 loss:0.680 	 acc:0.675
score: 1024	#499 	 loss:0.685 	 acc:0.676
score: 2048	#500 	 loss:0.684 	 acc:0.679
score: 2048	#501 	 loss:0.670 	 acc:0.684
